"filename", "language", "Log", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\example_agent_client_usage.py", "Python", 0, 170, 0, 0, 28, 60, 258
"f:\ZhouTomo\ZhouTomo_v2\example_wiring_usage.py", "Python", 0, 111, 0, 0, 19, 48, 178
"f:\ZhouTomo\ZhouTomo_v2\install_dependencies.py", "Python", 0, 41, 0, 0, 3, 11, 55
"f:\ZhouTomo\ZhouTomo_v2\main.py", "Python", 0, 25, 0, 0, 9, 15, 49
"f:\ZhouTomo\ZhouTomo_v2\model\targets.py", "Python", 0, 41, 0, 0, 3, 16, 60
"f:\ZhouTomo\ZhouTomo_v2\ports_temscript.py", "Python", 0, 1040, 0, 0, 68, 232, 1340
"f:\ZhouTomo\ZhouTomo_v2\requirements.txt", "pip requirements", 0, 0, 14, 0, 7, 6, 27
"f:\ZhouTomo\ZhouTomo_v2\resources\README.md", "Markdown", 0, 0, 0, 51, 0, 18, 69
"f:\ZhouTomo\ZhouTomo_v2\resources\__init__.py", "Python", 0, 0, 0, 0, 1, 1, 2
"f:\ZhouTomo\ZhouTomo_v2\resources\resource_manager.py", "Python", 0, 75, 0, 0, 11, 24, 110
"f:\ZhouTomo\ZhouTomo_v2\run_agent.py", "Python", 0, 289, 0, 0, 40, 86, 415
"f:\ZhouTomo\ZhouTomo_v2\server_fastapi.py", "Python", 0, 738, 0, 0, 86, 153, 977
"f:\ZhouTomo\ZhouTomo_v2\src\BM3D_Main.py", "Python", 0, 98, 0, 0, 3, 20, 121
"f:\ZhouTomo\ZhouTomo_v2\src\ROI.py", "Python", 0, 290, 0, 0, 4, 46, 340
"f:\ZhouTomo\ZhouTomo_v2\src\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"f:\ZhouTomo\ZhouTomo_v2\src\autoFocusProcessor.py", "Python", 0, 192, 0, 0, 17, 49, 258
"f:\ZhouTomo\ZhouTomo_v2\src\create_loose_mask.py", "Python", 0, 48, 0, 0, 1, 11, 60
"f:\ZhouTomo\ZhouTomo_v2\src\estimate_bm3d.py", "Python", 0, 83, 0, 0, 5, 15, 103
"f:\ZhouTomo\ZhouTomo_v2\src\imgaussfilt.py", "Python", 0, 8, 0, 0, 0, 4, 12
"f:\ZhouTomo\ZhouTomo_v2\src\normxcorr2.py", "Python", 0, 57, 0, 0, 16, 14, 87
"f:\ZhouTomo\ZhouTomo_v2\src\utils.py", "Python", 0, 62, 0, 0, 4, 19, 85
"f:\ZhouTomo\ZhouTomo_v2\test\test_agent_client.py", "Python", 0, 59, 0, 0, 12, 27, 98
"f:\ZhouTomo\ZhouTomo_v2\test\test_temscript.py", "Python", 0, 3, 0, 0, 0, 9, 12
"f:\ZhouTomo\ZhouTomo_v2\view\CUSTOM_SPINBOX_README.md", "Markdown", 0, 0, 0, 155, 0, 46, 201
"f:\ZhouTomo\ZhouTomo_v2\view\POPUP_DIALOGS_README.md", "Markdown", 0, 0, 0, 139, 0, 42, 181
"f:\ZhouTomo\ZhouTomo_v2\view\README.md", "Markdown", 0, 0, 0, 31, 0, 11, 42
"f:\ZhouTomo\ZhouTomo_v2\view\REFACTORING_NOTES.md", "Markdown", 0, 0, 0, 50, 0, 15, 65
"f:\ZhouTomo\ZhouTomo_v2\view\SPLASH_SCREEN_README.md", "Markdown", 0, 0, 0, 81, 0, 25, 106
"f:\ZhouTomo\ZhouTomo_v2\view\__init__.py", "Python", 0, 0, 0, 0, 1, 1, 2
"f:\ZhouTomo\ZhouTomo_v2\view\agent_manager.py", "Python", 0, 121, 0, 0, 11, 27, 159
"f:\ZhouTomo\ZhouTomo_v2\view\dialogs.py", "Python", 0, 532, 0, 0, 64, 96, 692
"f:\ZhouTomo\ZhouTomo_v2\view\image_canvas.py", "Python", 0, 175, 0, 0, 22, 21, 218
"f:\ZhouTomo\ZhouTomo_v2\view\main_window.py", "Python", 0, 812, 0, 0, 212, 189, 1213
"f:\ZhouTomo\ZhouTomo_v2\view\panels\file_panel.py", "Python", 0, 141, 0, 0, 8, 22, 171
"f:\ZhouTomo\ZhouTomo_v2\view\panels\image_panel.py", "Python", 0, 133, 0, 0, 6, 27, 166
"f:\ZhouTomo\ZhouTomo_v2\view\panels\info_panel.py", "Python", 0, 98, 0, 0, 11, 19, 128
"f:\ZhouTomo\ZhouTomo_v2\view\splash_screen.py", "Python", 0, 157, 0, 0, 35, 50, 242
"f:\ZhouTomo\ZhouTomo_v2\view\toolbar.py", "Python", 0, 330, 0, 0, 57, 59, 446
"f:\ZhouTomo\ZhouTomo_v2\view\widgets.py", "Python", 0, 237, 0, 0, 8, 40, 285
"f:\ZhouTomo\ZhouTomo_v2\wiring.py", "Python", 0, 307, 0, 0, 17, 92, 416
"Total", "-", 0, 7711, 14, 3166, 930, 2959, 14780
