"filename", "language", "Log", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\ports_temscript.py", "Python", 0, 1040, 0, 0, 68, 232, 1340
"f:\ZhouTomo\ZhouTomo_v2\requirements.txt", "pip requirements", 0, 0, 0, 14, 7, 6, 27
"f:\ZhouTomo\ZhouTomo_v2\resources\README.md", "Markdown", 0, 0, 51, 0, 0, 18, 69
"f:\ZhouTomo\ZhouTomo_v2\resources\__init__.py", "Python", 0, 0, 0, 0, 1, 1, 2
"f:\ZhouTomo\ZhouTomo_v2\resources\resource_manager.py", "Python", 0, 75, 0, 0, 11, 24, 110
"f:\ZhouTomo\ZhouTomo_v2\run_agent.py", "Python", 0, 289, 0, 0, 40, 86, 415
"f:\ZhouTomo\ZhouTomo_v2\server_fastapi.py", "Python", 0, 738, 0, 0, 86, 153, 977
"f:\ZhouTomo\ZhouTomo_v2\test\test_agent_client.py", "Python", 0, 59, 0, 0, 12, 27, 98
"f:\ZhouTomo\ZhouTomo_v2\test\test_temscript.py", "Python", 0, 3, 0, 0, 0, 9, 12
"f:\ZhouTomo\ZhouTomo_v2\view\CUSTOM_SPINBOX_README.md", "Markdown", 0, 0, 155, 0, 0, 46, 201
"f:\ZhouTomo\ZhouTomo_v2\view\POPUP_DIALOGS_README.md", "Markdown", 0, 0, 139, 0, 0, 42, 181
"f:\ZhouTomo\ZhouTomo_v2\view\README.md", "Markdown", 0, 0, 31, 0, 0, 11, 42
"f:\ZhouTomo\ZhouTomo_v2\view\REFACTORING_NOTES.md", "Markdown", 0, 0, 50, 0, 0, 15, 65
"f:\ZhouTomo\ZhouTomo_v2\view\SPLASH_SCREEN_README.md", "Markdown", 0, 0, 81, 0, 0, 25, 106
"f:\ZhouTomo\ZhouTomo_v2\view\__init__.py", "Python", 0, 0, 0, 0, 1, 1, 2
"f:\ZhouTomo\ZhouTomo_v2\view\agent_manager.py", "Python", 0, 121, 0, 0, 11, 27, 159
"f:\ZhouTomo\ZhouTomo_v2\view\dialogs.py", "Python", 0, 576, 0, 0, 61, 87, 724
"f:\ZhouTomo\ZhouTomo_v2\view\image_canvas.py", "Python", 0, 175, 0, 0, 22, 21, 218
"f:\ZhouTomo\ZhouTomo_v2\view\main_window.py", "Python", 0, 1155, 0, 0, 222, 221, 1598
"f:\ZhouTomo\ZhouTomo_v2\view\splash_screen.py", "Python", 0, 157, 0, 0, 35, 50, 242
"f:\ZhouTomo\ZhouTomo_v2\view\toolbar.py", "Python", 0, 312, 0, 0, 52, 59, 423
"f:\ZhouTomo\ZhouTomo_v2\view\widgets.py", "Python", 0, 237, 0, 0, 8, 40, 285
"f:\ZhouTomo\ZhouTomo_v2\wiring.py", "Python", 0, 307, 0, 0, 17, 92, 416
"Total", "-", 0, 6503, 3166, 14, 777, 2636, 13096
